Date,HDFCBANK,ICICIBANK,SBIN,KOTAKBANK,AXISBANK,TCS,INFY,WIPRO,HCLTECH,TECHM,SUNPHARMA,DRREDDY,CIPLA,DIVISLAB,APOLLOHOSP,NIFTY50
20-09-2023,761.0305176,971.2302856,579.5489502,357.0864868,1025.631226,3349.728027,1385.119385,201.1589966,1182.976929,1192.308716,1125.105835,1109.363159,1216.28418,3739.516357,4974.079102,19901.40039
21-09-2023,755.9932861,943.8294067,567.0632324,350.3516235,1012.802185,3330.453125,1395.80835,200.6211395,1168.891724,1208.494995,1118.276123,1119.92334,1183.613159,3707.064209,4987.740723,19742.34961
22-09-2023,744.4588623,934.9744873,576.7047119,350.5013123,1016.595947,3347.498047,1390.603149,195.7336426,1164.958618,1221.312866,1104.811646,1090.001343,1163.500366,3665.756836,4957.4375,19674.25
25-09-2023,745.1158447,940.9269409,572.7516479,356.0787659,1017.294861,3322.88208,1370.155273,193.675766,1155.583862,1215.792603,1096.713623,1074.531738,1157.074097,3688.958252,5064.245605,19674.55078
26-09-2023,748.3522949,933.4003296,573.0891113,352.0278625,1012.502625,3330.824707,1357.607666,193.1145172,1153.754517,1199.746948,1098.469849,1080.26123,1141.670654,3713.989746,5021.175293,19664.69922
27-09-2023,743.0960693,927.890625,568.605835,352.2373962,1023.534546,3334.168701,1363.509521,194.4006958,1153.434326,1205.68811,1112.226807,1085.931519,1158.202271,3728.039307,5072.492676,19716.44922
28-09-2023,741.5630493,927.3986816,568.7987061,345.8617554,1029.225342,3285.35376,1337.903198,189.5833588,1135.873657,1150.346069,1104.763062,1072.625122,1142.06311,3626.131592,4987.790039,19523.55078
29-09-2023,742.8284302,936.5487671,577.090332,346.3606262,1035.015991,3277.783203,1334.185303,189.9107361,1129.380005,1144.077393,1130.472168,1103.821411,1163.745605,3725.219482,5104.683594,19638.30078
03-10-2023,733.9464111,925.1358032,581.3325806,344.634491,1039.358887,3264.081787,1332.837524,189.6301422,1132.946777,1137.902344,1113.690552,1079.065796,1160.458984,3684.950928,5086.004883,19528.75
04-10-2023,744.4101563,915.0510864,565.2313232,343.6367493,993.9328003,3286.282715,1342.45752,189.3728943,1133.724487,1127.42334,1096.469727,1070.3927,1145.00647,3668.428223,5014.915039,19436.09961
05-10-2023,747.4276123,925.6769409,570.9197998,346.0712585,1001.6203,3334.215088,1360.210083,190.2615204,1129.974121,1127.984497,1091.883911,1068.308105,1139.168701,3657.98999,5014.567383,19545.75
06-10-2023,746.6003418,929.9568481,572.944519,347.9969177,999.3240356,3363.986816,1374.384155,190.7526245,1132.032104,1138.557373,1099.884644,1071.795288,1141.032959,3682.329102,5027.682129,19653.5
